text,label
"Condense this biography of Nikola Tesla into the five most pivotal moments","summarization"
"Summarize the debate presented in this article about universal basic income","summarization"
"Give me a one paragraph summary of how blockchain technology works based on this article","summarization"
"Summarize the risks outlined in this cybersecurity audit report","summarization"
"What are the key insights from this book chapter on behavioral economics","summarization"
"Condense this product roadmap document into the top priorities for next quarter","summarization"
"Summarize the feedback given in these 30 employee performance review comments","summarization"
"Give me the gist of this lengthy terms and conditions document in plain English","summarization"
"Summarize the competitive landscape section of this market research report","summarization"
"What does this technical specification document say about the API rate limits","summarization"
"Condense this academic literature review into the three most relevant studies","summarization"
"Summarize the plot of Breaking Bad for someone who has never seen it","summarization"
"Give me a brief summary of the main events during the French Revolution","summarization"
"Summarize the key points from this nutrition and diet research study","summarization"
"Condense this 10000 word blog post about productivity into a 300 word summary","summarization"
"Give me an overview of the risks and benefits discussed in this clinical drug trial report","summarization"
"Summarize the findings of this user experience research study","summarization"
"What are the main arguments presented in this long-form article about AI ethics","summarization"
"What is the difference between machine learning and deep learning","question_answering"
"How does the TCP IP protocol stack work","question_answering"
"What is the capital city of Australia","question_answering"
"How many bones are in the adult human body","question_answering"
"What causes a lunar eclipse and how is it different from a solar eclipse","question_answering"
"Who invented the World Wide Web and when was it created","question_answering"
"What is the difference between stack memory and heap memory in programming","question_answering"
"How does the human immune system fight off a viral infection","question_answering"
"At what temperature does water boil at high altitude and why","question_answering"
"What does the HTTP status code 403 Forbidden mean","question_answering"
"Who wrote the novel Frankenstein and what inspired the story","question_answering"
"What is the speed of sound in air at sea level","question_answering"
"How does a mRNA vaccine differ from a traditional vaccine","question_answering"
"What is the difference between a process and a thread in operating systems","question_answering"
"In what year did the Berlin Wall fall","question_answering"
"What is CRISPR and what is it used for in modern science","question_answering"
"How does GPS use satellites to determine your exact location on Earth","question_answering"
"What is the largest ocean on Earth","question_answering"
"What is the difference between overfitting and underfitting in machine learning","question_answering"
"Who co-founded Apple and what roles did they each play","question_answering"
"What is a transformer architecture in the context of large language models","question_answering"
"How does end-to-end encryption work in messaging apps like Signal","question_answering"
"What does the quadratic formula solve for in mathematics","question_answering"
"What is the difference between IPv4 and IPv6","question_answering"
"How does photosynthesis convert sunlight into chemical energy","question_answering"
"What is Kubernetes and what problem does it solve in software deployment","question_answering"
"Who painted the Sistine Chapel ceiling and how long did it take","question_answering"
"What is the difference between a mutex and a semaphore in concurrency","question_answering"
"How does the stock market determine the price of a share","question_answering"
"What is the role of mitochondria in a cell","question_answering"
"How does HTTPS protect data in transit compared to HTTP","question_answering"
"What is the difference between a recession and a depression in economics","question_answering"
"Who developed the theory of relativity and what are its core ideas","question_answering"
"What is a hash function and why is it important in cryptography","question_answering"
"How does the human brain form and consolidate long-term memories","question_answering"
"What is the difference between SQL and NoSQL databases","question_answering"
"What are the main causes of inflation in an economy","question_answering"
"How do black holes form and what happens at the event horizon","question_answering"
"What is the CAP theorem in distributed systems","question_answering"
"What is the difference between a compiler and an interpreter","question_answering"
"Write a Python function that finds the longest common substring between two strings","code_generation"
"Create a SQL query to calculate the rolling 7-day average of daily sales","code_generation"
"Write a JavaScript debounce function that delays execution by 300 milliseconds","code_generation"
"Generate a FastAPI endpoint that accepts a file upload and returns its word count","code_generation"
"Write a bash script that monitors disk usage and sends an alert when it exceeds 80 percent","code_generation"
"Create a Python implementation of a min-heap data structure from scratch","code_generation"
"Write a React component that renders a paginated data table with column sorting","code_generation"
"Generate a regex pattern that matches valid international phone numbers","code_generation"
"Write a Python function that implements binary search on a sorted list","code_generation"
"Create a Docker Compose file for a Django app with PostgreSQL and Redis","code_generation"
"Write a CSS keyframe animation for a pulsing notification badge","code_generation"
"Generate a Python script that reads a CSV file and outputs basic statistics","code_generation"
"Write a TypeScript generic function that deep clones any object","code_generation"
"Create a Kubernetes horizontal pod autoscaler YAML for a web service","code_generation"
"Write a recursive function to compute the nth Fibonacci number in Rust","code_generation"
"Generate a GitHub Actions CI pipeline that lints tests and builds a Python package","code_generation"
"Write a MongoDB aggregation pipeline that calculates revenue per product category","code_generation"
"Create a Python context manager that measures and logs function execution time","code_generation"
"Write an SQL query that finds customers who made purchases in three consecutive months","code_generation"
"Generate a WebSocket server in Python using the websockets library","code_generation"
"Write a function in Python that converts a nested dictionary into a flat dictionary","code_generation"
"Create a Terraform configuration to provision an AWS S3 bucket with versioning enabled","code_generation"
"Write a unit test suite for a Python class that handles user authentication logic","code_generation"
"Generate a Python async function that fetches data from multiple APIs concurrently","code_generation"
"Write a Redis caching decorator in Python that stores results with a configurable TTL","code_generation"
"Create a GraphQL schema definition for a blog with posts comments and authors","code_generation"
"Write a Python script that parses JSON log files and outputs error frequency by hour","code_generation"
"Generate a Dockerfile for a FastAPI app using multi-stage builds for production","code_generation"
"Write a linked list implementation in Python with insert delete and search methods","code_generation"
"Create a Prometheus metrics endpoint inside a FastAPI application","code_generation"
"Write a shell script that automatically rotates and archives log files older than 7 days","code_generation"
"Generate a Python function that validates and sanitizes user input to prevent XSS attacks","code_generation"
"Write a breadth-first search algorithm to find the shortest path in an unweighted graph","code_generation"
"Create a rate limiter middleware for a FastAPI application using Redis as the backend","code_generation"
"Write a Python script that resizes and compresses a batch of images in a directory","code_generation"
"Generate an Nginx configuration file for reverse proxying to multiple backend services","code_generation"
"Write a Python class that implements the observer design pattern","code_generation"
"Create a JWT authentication helper module in Python with encode and decode functions","code_generation"
"Write a SQL schema for an e-commerce database with users products orders and reviews tables","code_generation"
"Generate a Python script that watches a directory for new files and processes them automatically","code_generation"
"Translate this paragraph about climate change from English to French","translation"
"How do you say good morning and have a great day in Japanese","translation"
"Convert this business proposal from Spanish to English keeping the formal tone intact","translation"
"Translate this legal contract clause from German to English accurately","translation"
"What is the Arabic translation of the phrase freedom of speech","translation"
"Translate this Italian restaurant menu including all dish descriptions to English","translation"
"Convert this Python error explanation from English to Brazilian Portuguese","translation"
"Translate this formal business email from Mandarin Chinese to English","translation"
"How do you sincerely apologize for an inconvenience in Korean","translation"
"Translate the ingredients and usage instructions on this French product label to English","translation"
"Convert this patient medical history document from English to Spanish","translation"
"Translate this public street sign photographed in Moscow from Russian to English","translation"
"What does this common Hebrew idiom mean when translated literally to English","translation"
"Translate this employment contract section from English to German with legal precision","translation"
"How do you say congratulations on your well-deserved promotion in Swahili","translation"
"Translate this customer product review written in Turkish to English","translation"
"Convert this breaking news headline from English to Simplified Chinese","translation"
"Translate this Pablo Neruda poem from Spanish to English preserving its emotional rhythm","translation"
"What is the closest English equivalent to the untranslatable Dutch word gezelligheid","translation"
"Translate this product assembly instruction manual from Japanese to English","translation"
"How do you wish someone a happy new year in Hindi","translation"
"Translate this system error message from English to Polish for software localization","translation"
"Convert this academic paper abstract from English to Brazilian Portuguese","translation"
"Translate this tweet from English to Modern Greek","translation"
"How do you formally introduce yourself in a business meeting in Mandarin Chinese","translation"
"Translate this warning label from English to Arabic for international export compliance","translation"
"Convert this software user interface copy from English to French Canadian","translation"
"Translate this English marketing slogan into Spanish without losing its emotional impact","translation"
"Convert this Swedish IKEA furniture assembly guide to English","translation"
"Translate this English interview transcript to French for a bilingual report","translation"
"How do you say the meeting has been rescheduled to Thursday afternoon in Arabic","translation"
"Translate this English cooking recipe to Italian using authentic culinary terminology","translation"
"Convert this financial report executive summary from English to German","translation"
"Translate this app store description from English to Korean","translation"
"How do you express sincere condolences for a loss in Vietnamese","translation"
"Translate this English technical API documentation to Japanese for a developer audience","translation"
"Convert this English conference speech transcript to Italian for an international audience","translation"
"Translate this English children's educational content to Simplified Chinese","translation"
"Convert this English HR policy document to Spanish for Latin American offices","translation"
"Translate this product changelog from English to French for European customers","translation"
"Hey how are you doing today","chitchat"
"I am feeling really bored right now what should we talk about","chitchat"
"Do you have a favorite color or is that a strange question to ask an AI","chitchat"
"Tell me something interesting that most people probably do not know","chitchat"
"What do you think about the idea of artificial intelligence becoming self-aware someday","chitchat"
"I just finished a really exhausting work week and I need to unwind","chitchat"
"Do you ever get tired of answering questions all day long","chitchat"
"If you could visit any place in the world where would you go and why","chitchat"
"I am procrastinating on my university assignments let us just chat for a bit","chitchat"
"What is your honest opinion on pineapple as a pizza topping","chitchat"
"Do you think robots will ever fully replace human workers in most jobs","chitchat"
"I just had the best cup of coffee I have tasted in years","chitchat"
"What kind of music do you think an AI would enjoy if it could actually listen","chitchat"
"I have been thinking a lot about life lately and what it all means","chitchat"
"If you had to choose do you prefer cats or dogs and why","chitchat"
"Tell me a joke that will actually make me laugh out loud","chitchat"
"I feel like nobody understands me today I just needed to tell someone","chitchat"
"What do you think the world will look like 50 years from now","chitchat"
"I am trying to decide what movie to watch tonight any suggestions","chitchat"
"Do you think humans are fundamentally good or do we need rules to behave well","chitchat"
"I just moved to a new city and I do not know anyone here yet","chitchat"
"What is the most fascinating thing about human nature that you have noticed","chitchat"
"I am feeling anxious about a big presentation I have tomorrow any advice","chitchat"
"Would you rather be able to fly or be completely invisible and why","chitchat"
"I think early mornings are the most underrated part of the day what do you think","chitchat"
"Tell me something small that might make me smile today","chitchat"
"Do you think social media has made people more connected or actually more lonely","chitchat"
"I had the strangest dream last night and I cannot stop thinking about it","chitchat"
"What is your take on what it means to live a truly happy life","chitchat"
"My favorite band just announced they are breaking up and I am devastated","chitchat"
"If you could have dinner with any historical figure who would you choose","chitchat"
"Do you think space exploration is worth the enormous amount of money humanity spends on it","chitchat"
"I am feeling very nostalgic today thinking back on my childhood memories","chitchat"
"What is one experience you think every person should have at least once in their life","chitchat"
"I cannot decide whether I should quit my job and travel the world for a year","chitchat"
"Do you find certain kinds of questions more interesting to think about than others","chitchat"
"I just got a puppy and I am completely overwhelmed but also incredibly happy","chitchat"
"What do you think makes a truly great and lasting friendship","chitchat"
"I am sitting by the window watching it rain outside and feeling very contemplative","chitchat"
"Do you think it is genuinely possible to be happy all of the time","chitchat"
